Rank,Nome,Nota
460,Black Orchestra,7.51
461,Boonlake,7.70
462,PitchCar,7.26
463,Mystic Vale,7.26
464,Turing Machine,7.86
465,Middara: Unintentional Malum – Act 1,8.63
466,Honey Buzz,7.63
467,Amerigo,7.44
468,Commands & Colors: Napoleonics,8.01
469,Cat in the Box: Deluxe Edition,7.66
470,Stuffed Fables,7.47
471,Charterstone,7.23
472,BattleLore,7.35
473,Amun-Re,7.30
474,Pandemic: The Cure,7.25
475,Mindbug: First Contact,7.79
476,Hadara,7.42
477,Colt Express,7.09
478,Exit: The Game – Dead Man on the Orient Express,7.58
479,Citadels,7.26
480,Canvas,7.30
481,Risk Legacy,7.37
482,Fire in the Lake,8.05
483,Sheriff of Nottingham,7.08
484,Citadels,7.07
485,No Thanks!,7.07
486,Shadows of Brimstone: City of the Ancients,7.97
487,Forbidden Desert,7.09
488,Deus,7.28
489,Blood Bowl: Living Rulebook,7.84
490,Oceans,7.49
491,Cartographers Heroes,7.82
492,Blood Bowl (Third Edition),7.55
493,Mansions of Madness,7.27
494,Lords of Vegas,7.35
495,Descent: Journeys in the Dark,7.28
496,Zombie Kidz Evolution,7.66
497,Hanabi,7.05
498,Dawn of the Zeds (Third Edition),8.17
499,Shadows over Camelot,7.10
500,Junk Art,7.38
501,Fantastic Factories,7.47
502,Pan Am,7.55
503,Betrayal Legacy,7.69
504,1775: Rebellion,7.64
505,"Labyrinth: The War on Terror, 2001 – ?",7.59
506,"Air, Land, & Sea",7.46
507,Descent: Legends of the Dark,7.95
508,IKI,7.67
509,The Great Wall,7.92
510,Friday,7.11
511,Raptor,7.25
512,Imperial Struggle,8.28
513,Imhotep,7.15
514,Bohnanza,7.05
515,Potion Explosion,7.13
516,Freedom: The Underground Railroad,7.58
517,CATAN,7.10
518,1846: The Race for the Midwest,7.93
519,Foundations of Rome,8.03
520,Railroad Ink: Deep Blue Edition,7.19
521,Blackout: Hong Kong,7.45
522,Argent: The Consortium,7.64
523,Wayfarers of the South Tigris,7.88
524,Black Rose Wars,7.98
525,John Company: Second Edition,8.34
526,Thurn and Taxis,7.09
527,Small World Underground,7.24
528,Undaunted: North Africa,7.86
529,Port Royal,7.12
530,Dead Reckoning,8.23
531,Escape Plan,7.52
532,First Class: All Aboard the Orient Express!,7.42
533,Archipelago,7.30
534,Star Wars: X-Wing (Second Edition),8.08
535,The Grizzled,7.14
536,London,7.33
537,Ingenious,7.10
538,Madeira,7.56
539,Time's Up! Title Recall!,7.69
540,Alhambra,7.03
541,High Society,7.14
542,TZAAR,7.66
543,The Fox in the Forest,7.12
544,Legends of Andor,7.13
545,Libertalia,7.12
546,Fleet: The Dice Game,7.68
547,Airlines Europe,7.30
548,RoboRally,7.06
549,Sushi Go!,7.01
550,Euphoria: Build a Better Dystopia,7.19
551,Elysium,7.20
552,Wabash Cannonball,7.25
553,Discworld: Ankh-Morpork,7.25
